종류,세부품명,규격,단위,단가,타입,비고
LED,,,M,100000,,
앙카,D19 L300,,EA,1500,,
앙카,D19 L400,,EA,1800,,
앙카,셋트앙카 삼부 일반,,EA,100,,
앙카,셋트앙카 연부 일반,,EA,200,,
앙카,셋트앙카 삼부 스텐,,EA,250,,
H빔,스틸,,KG,1350,,
H빔,,100×100,M,24000,,
H빔,,150×100,M,30000,,
H빔,,150×150,M,34000,,
H빔,,200×100,M,36000,,
H빔,,200×150,M,43000,,
H빔,,200×200,M,70000,,
H빔,,150×300,M,45000,,
H빔,,294×200,M,79000,,
H빔,,400×200,M,92000,,
H빔,톱절단,100×100,EA,3000,,100×100 절단
H빔,톱절단 (45도),100×100,EA,6000,,100×100 45도 절단
H빔,톱절단,150×100,EA,4000,,150×100 절단
H빔,톱절단,150×150,EA,4000,,150×150 절단
H빔,톱절단,200×100,EA,4000,,200×100 절단
잔넬,ㄷ잔넬,100×50,M,50000,,5M 당 단가
잔넬,,100×50,M,60000,,5M 당 단가
잔넬,,200×80,M,150000,,5M 당 단가
목재,손스침(멀바우),70×40,EA,25000,,
목재,(해안) 미송 방부목 사이,,M²,3300,WOOD,가로 * 1.05 * 세로 * 1.05 * 길이 * 300 * 단가
목재,(영풍) 미송 방부목 사이,,M²,3500,WOOD,가로 * 1.05 * 세로 * 1.05 * 길이 * 300 * 단가
목재,(해안) 뉴송 방부목 사이,,M²,2700,WOOD,가로 * 1.05 * 세로 * 1.05 * 길이 * 300 * 단가
목재,(해안) 하드우드(니아또),,M²,6500,WOOD,가로 * 1.05 * 세로 * 1.05 * 길이 * 300 * 단가
목재,(해안) 멀바우,,M²,15000,WOOD,가로 * 1.05 * 세로 * 1.05 * 길이 * 300 * 단가
목재,(해안) 이페 제제목 사이,,M²,21000,WOOD,가로 * 1.05 * 세로 * 1.05 * 길이 * 300 * 단가
목재,(해안) 데크,21T,M²,100000,,1M² 당 단가
목재,(서원비에스티) 이페 제제목 사이,,M²,19000,WOOD,가로 * 1.05 * 세로 * 1.05 * 길이 * 300 * 단가
목재,(서원비에스티) 데크,21T,M²,90000,,1M² 당 단가
목재,(서원비에스티) 탄화목 말라스,21T,M²,67000,WOOD,
목재,말라스 데크,21T,M²,38000,,1M² 당 단가
목재,말라스 데크,30T,M²,52000,,1M² 당 단가
목재,모말라 데크,19T,M²,35000,,1M² 당 단가
목재,모말라 데크,21T,M²,40000,,1M² 당 단가
목재,모말라 데크,30T,M²,52000,,1M² 당 단가
목재,메란티바투 데크,19T,M²,3200,,1M² 당 단가
목재,부기스 데크,19T,M²,32000,,1M² 당 단가
목재,방킬라이 데크,19T,M²,40000,,1M² 당 단가
목재,방킬라이 데크,21T,M²,44000,,1M² 당 단가
목재,방킬라이 데크,25T,M²,52000,,1M² 당 단가
목재,꾸메아 데크,21T,M²,47000,,1M² 당 단가
목재,멀바우 데크,19T,M²,42000,,1M² 당 단가
목재,멀바우 데크,21T,M²,43000,,1M² 당 단가
목재,멀바우 데크,30T,M²,62000,,1M² 당 단가
목재,울린 데크,19T,M²,63000,,1M² 당 단가
목재,자토바 데크,21T,M²,60000,,1M² 당 단가
목재,꾸마루 데크,21T,M²,63000,,1M² 당 단가
목재,이페 데크,19T,M²,77000,,1M² 당 단가
목재,이페 데크,21T,M²,82000,,1M² 당 단가
목재,심깎기,,EA,2500,,
목재,타공,,EA,500,,1구 당 단가
스텐판,,4×8 2T,EA,213000,,
스텐판,,4×8 2T,M²,71100,,1M² 당 단가
스텐판,,4×8 3T,EA,320000,,
스텐판,,4×8 3T,M²,107000,,1M² 당 단가
스텐판,,4×8 5T,EA,530000,,
스텐판,,4×8 5T,M²,180000,,1M² 당 단가
스텐판,,5×10 2T,EA,350000,,
스텐판,,5×10 3T,EA,520000,,
스텐판,,5×10 5T,EA,850000,,
스텐판,STS베이스,100×100 4T,EA,3500,,
스텐판,거치대 50×30 타공홀 가공 1구,,EA,350,,
스텐판,D22.3 하켑(소),,EA,80,,
스텐판,D38.1 각도기,,EA,550,,
스텐판,D38.1 L보,,EA,1300,,
스텐판,D38.1 용접마구리,,EA,150,,
스텐판,D38.1 속마구리,,EA,300,,
스텐판,D25.4 롱L보 일반,,EA,1600,,
스텐판,D25.4 R가공,,EA,2000,,
스텐판,D25.4 각도기,,EA,300,,
아연파이프,,40×20 1.4T,EA,10000,,
아연파이프,,40×20 2T,EA,13000,,
아연파이프,,50×30 1.4T,EA,13000,,
아연파이프,,50×30 2T,EA,15000,,
아연파이프,,50×50 1.4T,EA,17000,,
아연파이프,,50×50 2T,EA,20000,,
아연파이프,,75×45 1.4T,EA,24000,,
아연파이프,,75×45 2T,EA,29000,,
아연파이프,,75×75 2T,EA,35000,,
아연파이프,,100×50 2T,EA,31000,,
아연파이프,,100×100 2T,EA,49000,,
아연파이프,,100×100 2.9T,EA,60000,,
아연파이프,,125×125 3.2T,EA,105900,,
아연파이프,,150×150 4T,EA,140000,,
페인트,우레탄(기와진회색+하도+신나),,M²,7000,,1M² 당 단가
페인트,불소수지 페인트,,M²,14000,,1M² 당 단가
페인트,분체도장 페인트,,M²,12500,,1M² 당 단가
유리,강화유리 보호필름 부착,10T,M²,10000,GLASS,가로 * 세로 * 단가 / 0.09
유리,강화유리 보호필름 부착,8T,M²,8500,GLASS,가로 * 세로 * 단가 / 0.09
유리,2중접합유리 보호필름 부착 (지붕),8.76mm,M²,13000,GLASS,가로 * 세로 * 단가 / 0.09
유리,2중접합유리 보호필름 부착 (기둥),8.76mm,M²,12500,GLASS,가로 * 세로 * 단가 / 0.09
판,갈바,4×8 1.6T,EA,70000,,
판,갈바,4×8 1.6T,M²,24000,,
판,갈바,4×8 2T,EA,90000,,
판,갈바 ,5×10 1.6T,EA,110000,,
판,갈바 ,5×10 2T,EA,140000,,
판,갈바 홈가공,1.6T,M,15000,,
판,철판,4×8 2T,EA,80000,,
판,철판,4×8 2T,M²,27000,,
판,철판,4×8 2.3T,EA,86500,,
판,철판,4×8 2.3T,M²,29000,,
판,철판,4×8 3T,EA,113000,,
판,철판,4×8 3T,M²,38000,,
판,철판,4×8 5T,EA,188000,,
판,철판,4×8 5T,M²,63000,,
판,철판,4×8 6T,EA,225600,,
판,철판,4×8 6T,M²,75500,,
판,철판,4×8 9T,EA,326000,,
판,철판,4×8 9T,M²,110000,,
판,철판,4×8 10T,EA,364000,,
판,철판,4×8 10T,M²,122000,,
판,철판,4×8 12T,EA,390000,,
판,철판,4×8 12T,M²,130000,,
판,철판,5×10 2T,EA,130000,,
판,철판,5×10 2.3T,EA,135100,,
판,철판,5×10 2.3T,M²,45000,,
판,철판,5×10 3T,EA,155000,,
판,아연판,4×8 3T,EA,118000,,
판,코르텐강판,4×8 2.3T,EA,100000,,
판,코르텐강판,4×8 3T,EA,115000,,
판,코르텐강판,4×10 2.3T,EA,125000,,
